Street,City,Zipcode,Price,Zestimate,Bedroom,Bathroom,Year_Built,Living_Area,Home_Type,Lot_Size(Sqft),HOA_Per_Month,Last_Sold_Price,hasHeating,hasCooling,furnished,hasOpenParking,hasCarport,isNewConstruction,hasHomeWarranty,Is_New_Home,Is_For_Auction,Is_Bank_Owned,Price_History,Date,MonthYear_value,Year,avg_school_rating
1759 Margaret St,SAN JOSE,95116,750000,681930,2,1.0,1947,884,SINGLE_FAMILY,6490,0,655000,True,True,False,False,False,False,False,False,False,False,750000,2020-09-24,2020-09,2020,4
218 Galano Plz,UNION CITY,94587,499000,483204,2,2.0,1985,880,CONDO,5614,325,375000,True,True,False,False,False,False,False,False,False,False,499000,2020-09-24,2020-09,2020,5
6778 Elwood Rd,SAN JOSE,95120,2050000,2331142,4,4.0,2014,3456,SINGLE_FAMILY,12493,0,1850000,True,True,False,False,False,False,False,False,False,False,2050000,2020-09-23,2020-09,2020,8
875 Madison St,SANTA CLARA,95050,1695000,1619848,5,4.0,1951,2586,SINGLE_FAMILY,10489,0,655000,True,True,False,False,False,False,False,False,False,False,1695000,2020-09-24,2020-09,2020,6
733 Henry St,OAKLAND,94607,899000,737396,4,4.0,1893,1833,SINGLE_FAMILY,3598,0,730000,True,True,False,False,False,False,False,False,False,False,730000,2020-08-03,2020-08,2020,1
6300 Ridgewood Dr,CASTRO VALLEY,94552,899950,956803,3,2.0,1990,1404,SINGLE_FAMILY,6904,66,523000,True,True,False,False,False,False,False,False,False,False,899950,2020-09-23,2020-09,2020,8
546 44th Ave,SAN FRANCISCO,94121,2200000,1804047,4,3.0,1926,3075,SINGLE_FAMILY,3001,0,1425000,unknow,unknow,False,False,False,False,False,False,False,False,2200000,2020-09-22,2020-09,2020,8
2133 Spaulding Ave,BERKELEY,94703,1495000,1186257,5,3.0,1949,2045,SINGLE_FAMILY,6459,0,1150000,True,True,False,False,False,False,False,False,False,False,1495000,2020-09-22,2020-09,2020,7
1345 Vancouver Ave,BURLINGAME,94010,2795000,2710311,4,2.0,1921,1850,SINGLE_FAMILY,5998,0,2335000,True,True,False,False,False,False,False,False,False,False,2795000,2020-07-17,2020-07,2020,8
2804 Dominici Dr,FREMONT,94536,1249000,1257718,3,2.0,1986,1671,SINGLE_FAMILY,8032,0,773000,True,True,False,False,False,False,False,False,False,False,1249000,2020-09-24,2020-09,2020,8
18645 Ralya Ct,CUPERTINO,95014,1680000,1694672,3,2.0,1954,1127,SINGLE_FAMILY,5871,0,533500,True,True,False,False,False,False,False,False,False,False,1680000,2020-05-02,2020-05,2020,8
1253 Shoal Dr,SAN MATEO,94404,1695000,1716156,3,3.0,1974,1690,SINGLE_FAMILY,3223,150,702000,True,True,False,False,False,False,False,False,False,False,1695000,2020-09-15,2020-09,2020,5
11 Mckillop Ct,SANTA CLARA,95050,899999,914801,2,1.0,1940,800,SINGLE_FAMILY,3319,0,420000,True,True,False,False,False,False,False,False,False,False,899999,2020-09-04,2020-09,2020,7
451 Donner Way,SAN RAMON,94582,1199888,1206433,4,3.0,1988,2608,SINGLE_FAMILY,5749,225,655000,True,True,False,False,False,False,False,False,False,False,1199888,2020-09-04,2020-09,2020,9
769 Crescent Ave,SAN MATEO,94402,2150000,2227681,5,3.0,1925,2970,SINGLE_FAMILY,6146,0,655000,True,True,False,False,False,False,False,False,False,False,2150000,2020-09-24,2020-09,2020,5
30842 Canterbury Way,UNION CITY,94587,1197888,1239830,4,3.0,1997,2070,SINGLE_FAMILY,4704,0,281000,True,True,False,False,False,False,False,False,False,False,1197888,2020-08-26,2020-08,2020,6
168 Dorantes Ave,SAN FRANCISCO,94116,2575000,2703864,4,3.5,1932,3216,SINGLE_FAMILY,4499,68,1600000,True,True,False,False,False,False,False,False,False,False,2575000,2020-09-24,2020-09,2020,6
4269 Oak Knoll Dr,DUBLIN,94568,1485000,1341823,4,3.0,2017,2944,SINGLE_FAMILY,4364,235,1228500,True,True,False,False,False,False,False,False,False,False,1521000,2020-09-22,2020-09,2020,8
19884 Wheaton Dr,CUPERTINO,95014,2677000,2612752,5,3.0,1968,2492,SINGLE_FAMILY,7422,0,655000,True,True,False,False,False,False,False,False,False,False,2677000,2020-09-23,2020-09,2020,8
2281 Doccia Ct,PLEASANTON,94566,1928000,1976851,5,3.0,1997,3396,SINGLE_FAMILY,9151,240,1176000,True,True,False,False,False,False,False,False,False,False,1928000,2020-09-15,2020-09,2020,7
2090 Del Monte Ave,SANTA CLARA,95051,1198000,1261316,3,2.0,1964,1474,SINGLE_FAMILY,5741,0,655000,True,True,False,False,False,False,False,False,False,False,1198000,2020-09-22,2020-09,2020,6
43591 Euclid Dr,FREMONT,94539,2150000,2166044,5,3.0,1988,2810,SINGLE_FAMILY,8102,0,950000,True,True,False,False,False,False,False,False,False,False,2150000,2020-09-22,2020-09,2020,9
